NO,NET PLOT AREA IN SQ.MTR,NET PLOT AREA IN SQ.YDS,NET PLOT AREA IN SQ.FEET,BUILT UP AREA IN SQ.MTR,BUILT UP AREA IN SQ.YDS,BUILT UP AREA IN SQ.FEET,TOTAL PLOT AREA IN SQ. MTR,TOTAL PLOT AREA IN SQ. YDS,TOTAL PLOT AREA IN SQ. FEET,RATE (1500)*(900),9 % Pricing Discount Rates ( 1350 * 810 ),Status
40,98.91,118.3,1064.66,58.41,69.86,628.74,157.32,188.16,1693.402966,1524063,1386897,
41,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
42,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
43,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
44,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
45,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
46,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
47,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
48,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
49,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
50,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
51,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
52,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
53,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
54,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
55,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
56,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
57,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
58,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
59,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
60,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
61,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
62,164.21,196.4,1767.54,96.98,115.98,1043.84,261.19,312.38,2811.381064,2530243,2302521,Sold Out
63,205.77,246.1,2214.89,121.52,145.34,1308.03,327.29,391.44,3522.915058,3170624,2885267,Sold Out
64,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
65,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
66,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
67,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
68,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
69,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
70,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
71,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
72,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
73,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
74,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
75,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
76,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
77,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
78,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
79,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
80,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
81,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
82,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
83,98.91,118.3,1064.66,58.41,69.86,628.74,157.32,188.16,1693.402966,1524063,1386897,
84,98.91,118.3,1064.66,58.41,69.86,628.74,157.32,188.16,1693.402966,1524063,1386897,
85,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
86,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
87,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
88,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
